pair,setup,entry_time,entry_price,qty,exit_time,exit_price,exit_reason,fees_idr,pnl_idr
sol_idr,trend_pullback,2026-05-09T05:45:00+00:00,1619059,0.06176427,2026-05-10T17:30:00+00:00,1654597,take_profit,591.91,1603.07
sol_idr,range_reversion,2026-05-12T15:45:00+00:00,1641643,0.06091458,2026-05-13T12:45:00+00:00,1619800,stop_loss,579.85,-1910.40
sol_idr,range_reversion,2026-05-13T14:15:00+00:00,1610972,0.06207432,2026-05-13T15:15:00+00:00,1589308,stop_loss,579.80,-1924.58
btc_idr,trend_pullback,2026-05-14T20:30:00+00:00,1420675000,0.00007038,2026-05-15T13:15:00+00:00,1403965000,stop_loss,580.30,-1756.35
btc_idr,range_reversion,2026-05-15T14:00:00+00:00,1391303000,0.00007187,2026-05-15T21:00:00+00:00,1389906000,regime_exit,584.02,-684.42
sol_idr,range_reversion,2026-05-26T01:00:00+00:00,1487848,0.06721116,2026-05-26T03:00:00+00:00,1480455,regime_exit,582.70,-1079.59
eth_idr,range_reversion,2026-05-26T17:45:00+00:00,36633000,0.00272977,2026-05-27T12:30:00+00:00,37168000,take_profit,589.40,871.03
eth_idr,range_reversion,2026-05-27T22:00:00+00:00,36029000,0.00277554,2026-05-28T03:30:00+00:00,35673000,stop_loss,581.02,-1569.11
sol_idr,range_reversion,2026-05-28T03:45:00+00:00,1445523,0.06917911,2026-05-28T04:15:00+00:00,1426926,stop_loss,580.00,-1866.52
sol_idr,range_reversion,2026-05-29T14:45:00+00:00,1439451,0.06947093,2026-05-29T15:15:00+00:00,1461748,take_profit,589.70,959.29
btc_idr,range_reversion,2026-06-09T10:00:00+00:00,1135652000,0.00008805,2026-06-09T13:45:00+00:00,1123051000,stop_loss,580.57,-1690.09
btc_idr,range_reversion,2026-06-09T14:30:00+00:00,1120316000,0.00008926,2026-06-09T14:45:00+00:00,1108085000,stop_loss,580.66,-1672.40
btc_idr,trend_pullback,2026-06-11T13:15:00+00:00,1136771000,0.00008796,2026-06-14T00:30:00+00:00,1157328000,take_profit,590.53,1217.66
sol_idr,trend_pullback,2026-06-15T04:15:00+00:00,1267543,0.07889278,2026-06-15T05:15:00+00:00,1241066,stop_loss,577.25,-2666.10
eth_idr,trend_pullback,2026-06-15T02:45:00+00:00,30627000,0.00326509,2026-06-15T11:30:00+00:00,31235000,take_profit,591.19,1393.98
sol_idr,trend_pullback,2026-06-15T06:00:00+00:00,1261680,0.07925940,2026-06-15T11:30:00+00:00,1298294,take_profit,594.33,2307.67
btc_idr,trend_pullback,2026-06-15T03:45:00+00:00,1169407000,0.00008551,2026-06-15T13:15:00+00:00,1187533000,take_profit,589.68,960.27
btc_idr,trend_pullback,2026-06-15T20:15:00+00:00,1185444000,0.00008435,2026-06-16T02:30:00+00:00,1172575000,stop_loss,580.64,-1666.14
eth_idr,trend_pullback,2026-06-16T00:15:00+00:00,31899000,0.00313489,2026-06-16T03:30:00+00:00,31311000,stop_loss,578.09,-2421.41
eth_idr,trend_pullback,2026-06-16T07:00:00+00:00,31437000,0.00318096,2026-06-16T12:30:00+00:00,32267000,take_profit,593.43,2046.76
btc_idr,trend_pullback,2026-06-16T04:30:00+00:00,1173703000,0.00008520,2026-06-17T08:45:00+00:00,1161249000,stop_loss,580.77,-1641.85
sol_idr,range_reversion,2026-06-17T09:00:00+00:00,1290386,0.07749619,2026-06-17T15:45:00+00:00,1310698,take_profit,589.79,984.32
eth_idr,trend_pullback,2026-06-16T15:30:00+00:00,31727000,0.00315188,2026-06-17T19:45:00+00:00,31026000,stop_loss,576.84,-2786.31
btc_idr,range_reversion,2026-06-18T04:30:00+00:00,1141650000,0.00008759,2026-06-18T15:30:00+00:00,1129906000,stop_loss,580.86,-1609.52
sol_idr,range_reversion,2026-06-18T05:00:00+00:00,1269365,0.07877954,2026-06-18T15:45:00+00:00,1246180,stop_loss,578.15,-2404.65
sol_idr,trend_pullback,2026-06-20T10:00:00+00:00,1279699,0.07814337,2026-06-20T22:30:00+00:00,1316579,take_profit,594.26,2287.67
sol_idr,trend_pullback,2026-06-21T02:15:00+00:00,1308167,0.07644283,2026-06-22T22:30:00+00:00,1284593,stop_loss,578.23,-2380.30
sol_idr,range_reversion,2026-06-23T06:15:00+00:00,1269365,0.07877954,2026-06-23T06:30:00+00:00,1250851,stop_loss,579.41,-2037.93
btc_idr,range_reversion,2026-06-23T06:30:00+00:00,1131435000,0.00008838,2026-06-23T06:30:00+00:00,1121629000,stop_loss,581.41,-1448.07
eth_idr,range_reversion,2026-06-23T06:30:00+00:00,30542000,0.00327417,2026-06-23T06:30:00+00:00,30240000,stop_loss,581.01,-1569.81
eth_idr,range_reversion,2026-06-23T08:45:00+00:00,29540000,0.00338524,2026-06-23T10:00:00+00:00,29646000,regime_exit,585.63,-226.79
btc_idr,range_reversion,2026-06-24T14:15:00+00:00,1110445000,0.00009005,2026-06-24T15:30:00+00:00,1099386000,stop_loss,580.97,-1576.83
eth_idr,range_reversion,2026-06-24T16:00:00+00:00,29434000,0.00339743,2026-06-24T17:00:00+00:00,29072000,stop_loss,580.19,-1810.06
sol_idr,trend_pullback,2026-06-27T19:15:00+00:00,1291164,0.07744949,2026-06-27T22:30:00+00:00,1266165,stop_loss,577.77,-2513.93
